team_id,location,cover_ind,games
ATL,Away,0,77
ATL,Away,1,81
ATL,Home,0,86
ATL,Home,1,73
BUF,Away,0,79
BUF,Away,1,79
BUF,Home,0,79
BUF,Home,1,75
CLE,Away,0,87
CLE,Away,1,73
CLE,Home,0,89
CLE,Home,1,70
DAL,Away,0,81
DAL,Away,1,78
DAL,Home,0,83
DAL,Home,1,77
GB,Away,0,78
GB,Away,1,82
GB,Home,0,73
GB,Home,1,87
KC,Away,0,71
KC,Away,1,88
KC,Home,0,83
KC,Home,1,76
MIA,Away,0,78
MIA,Away,1,79
MIA,Home,0,88
MIA,Home,1,69
MIN,Away,0,85
MIN,Away,1,74
MIN,Home,0,70
MIN,Home,1,88
NE,Away,0,66
NE,Away,1,91
NE,Home,0,67
NE,Home,1,93
NO,Away,0,68
NO,Away,1,92
NO,Home,0,83
NO,Home,1,72
NYG,Away,0,70
NYG,Away,1,86
NYG,Home,0,94
NYG,Home,1,67
OAK,Away,0,80
OAK,Away,1,80
OAK,Home,0,92
OAK,Home,1,63
PIT,Away,0,79
PIT,Away,1,80
PIT,Home,0,76
PIT,Home,1,84
WAS,Away,0,78
WAS,Away,1,80
WAS,Home,0,93
WAS,Home,1,67
LAR,Away,0,89
LAR,Away,1,71
LAR,Home,0,88
LAR,Home,1,68
ARI,Away,0,87
ARI,Away,1,72
ARI,Home,0,81
ARI,Home,1,78
BAL,Away,0,82
BAL,Away,1,77
BAL,Home,0,78
BAL,Home,1,82
CIN,Away,0,76
CIN,Away,1,83
CIN,Home,0,86
CIN,Home,1,73
DEN,Away,0,81
DEN,Away,1,78
DEN,Home,0,89
DEN,Home,1,71
DET,Away,0,86
DET,Away,1,71
DET,Home,0,83
DET,Home,1,77
IND,Away,0,75
IND,Away,1,84
IND,Home,0,80
IND,Home,1,80
PHI,Away,0,71
PHI,Away,1,88
PHI,Home,0,85
PHI,Home,1,75
LAC,Away,0,73
LAC,Away,1,86
LAC,Home,0,85
LAC,Home,1,72
SF,Away,0,86
SF,Away,1,72
SF,Home,0,85
SF,Home,1,74
SEA,Away,0,90
SEA,Away,1,68
SEA,Home,0,74
SEA,Home,1,86
TB,Away,0,83
TB,Away,1,77
TB,Home,0,89
TB,Home,1,68
TEN,Away,0,86
TEN,Away,1,73
TEN,Home,0,88
TEN,Home,1,72
NYJ,Away,0,88
NYJ,Away,1,70
NYJ,Home,0,84
NYJ,Home,1,76
CAR,Away,0,77
CAR,Away,1,82
CAR,Home,0,83
CAR,Home,1,77
CHI,Away,0,85
CHI,Away,1,72
CHI,Home,0,85
CHI,Home,1,75
JAX,Away,0,84
JAX,Away,1,76
JAX,Home,0,87
JAX,Home,1,66
HOU,Away,0,77
HOU,Away,1,65
HOU,Home,0,76
HOU,Home,1,68
